status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
For sale,,Townhouse,3455 Greystone Dr,2,"{'atAGlanceFacts': [{'factValue': '1969', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '1 space', 'factLabel': 'Parking'}, {'factValue': '2,047 sqft', 'factLabel': 'lotsize'}, {'factValue': '$195', 'factLabel': 'Price/sqft'}]}",,Austin,"[{'rating': ['8/10', '7/10', '8/10'], 'data': {'Distance': ['0.8 mi', '0.6 mi', '1.2 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Doss Elementary School', 'Murchison Middle School', 'Anderson High School']}]",968,78731,2,TX,2.0,,,9909179,"$188,800"
for sale,,condo,4115 SE 18th Pl #103,2 Baths,"{'atAGlanceFacts': [{'factValue': '1977', 'factLabel': 'Year built'}, {'factValue': '1977', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport', 'factLabel': 'Parking'}, {'factValue': '2,514 sqft', 'factLabel': 'lotsize'}, {'factValue': '$163/sqft', 'factLabel': 'Price/sqft'}]}",,Cape Coral,"[{'rating': ['8/10', '5/10', '5/10', '7/10', '5/10', '7/10', '8/10', '5/10', '8/10', '6/10', '6/10'], 'data': {'Distance': ['4.6mi', '4.55mi', '3.39mi', '0.85mi', '2.82mi', '4.8mi', '4.82mi', '4.32mi', '5.94mi', '5.76mi', '5.04mi'], 'Grades': ['6-8', 'PK-5', '9-12', 'PK-5', 'PK-5', '6-8', 'PK-5', 'PK-5', '6-8', 'PK-5', '9-12']}, 'name': ['Challenger Middle School', 'Patriot Elementary School', 'Cape Coral High School', 'Cape Elementary School', 'Pelican Elementary School', 'Gulf Middle School', 'Gulf Elementary School', 'Skyline Elementary School', 'Trafalgar Middle School', 'Trafalgar Elementary School', 'Ida S. Baker High School']}]","1,362 sqft",33904,2 Beds,FL,1.0,,yes,219081281,"$222,000"
for sale,,single-family home,2940 Grand Ave SW,,"{'atAGlanceFacts': [{'factValue': '1940', 'factLabel': 'Year built'}, {'factValue': '1950', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '4', 'factLabel': 'Parking'}, {'factValue': '9,753 sqft', 'factLabel': 'lotsize'}, {'factValue': '$78/sqft', 'factLabel': 'Price/sqft'}]}",,Atlanta,"[{'rating': ['6/10', '2/10', '3/10'], 'data': {'Distance': ['3.29mi', '2.51mi', '3.08mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Early College High School At Carver', 'Price Middle School', 'Slater Elementary School']}]","1,156 sqft",30315,3 Beds,GA,1.0,,,8529371,"$89,700"
Pre-foreclosure / auction,,Single Family,4314 Hartford St,Bathrooms: 1,"{'atAGlanceFacts': [{'factValue': '1947', 'factLabel': 'Year built'}, {'factValue': '1982', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '2.04 acres', 'factLabel': 'lotsize'}, {'factValue': '', 'factLabel': 'Price/sqft'}]}",Yes,Tampa,"[{'rating': ['2/10', '1/10', '3/10'], 'data': {'Distance': ['1.7 mi', '3.2 mi', '3.8 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Bing Elementary School', 'Giunta Middle School', 'Spoto High School']}]",Total interior livable area: 962 sqft,33619,2 bd,FL,1.0,,,,"$296,356"
for sale,,single-family home,1201 NW 56th Ave,2 Baths,"{'atAGlanceFacts': [{'factValue': '1970', 'factLabel': 'Year built'}, {'factValue': '1971', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '7,125 sqft', 'factLabel': 'lotsize'}, {'factValue': '$182/sqft', 'factLabel': 'Price/sqft'}]}",,Lauderhill,"[{'rating': ['4/10', '3/10', '3/10'], 'data': {'Distance': ['0.89mi', '3.42mi', '1.31mi'], 'Grades': ['6-11', '9-12', 'PK-5']}, 'name': ['Lauderhill 6-12 STEM-MED Magnet School', 'Piper High School', 'Plantation Elementary School']}]","1,512 sqft",33313,4 Beds,FL,1.0,,,F10197013,"$275,000"
Active,,Single Family Home,9623 Brunswick Dr,4.5,"{'atAGlanceFacts': [{'factValue': '1999', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Heating System', 'factLabel': 'Heating'}, {'factValue': 'Cooling System', 'factLabel': 'Cooling'}, {'factValue': 'Attached - SIDE', 'factLabel': 'Parking'}, {'factValue': '27878', 'factLabel': 'lotsize'}, {'factValue': '$137', 'factLabel': 'Price/sqft'}]}","Ceiling Fan, Storage, Walk-In Closets",Brentwood,"[{'rating': ['9', '9', '9', '8', '9', '9', 'NR', 'NR'], 'data': {'Distance': ['1.5 mi', '5.8 mi', '5.5 mi', '2.7 mi', '2.7 mi', '3.3 mi', '3.0 mi', '3.7 mi'], 'Grades': ['K–5', '6–8', '9–12', 'PK–5', '6–8', '9–12', 'PK–8', '9–12']}, 'name': ['Edmondson Elementary School', 'Brentwood Middle School', 'Brentwood High School', 'Sunset Elementary School', 'Sunset Middle School', 'Ravenwood High School', 'Montessori Academy Private School', 'Mercy Ministries Of America Private School']}]",5738,37027,5.0,TN,3.00,,,2089145,"$785,000"
Active,,Single Family Home,5415 160th St E,2,"{'atAGlanceFacts': [{'factValue': '1955', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '156380', 'factLabel': 'lotsize'}, {'factValue': '$223', 'factLabel': 'Price/sqft'}]}",,Puyallup,"[{'rating': ['6', '3', '4', '5', 'NR', '3', 'NR', 'NR'], 'data': {'Distance': ['1.5 mi', '3.4 mi', '2.6 mi', '1.3 mi', '0.1 mi', '3.3 mi', '1.5 mi', '1.6 mi'], 'Grades': ['K–5', '6–8', '9–12', 'PK–5', '7–12', '6–12', 'PK–6', 'PK–6']}, 'name': ['Naches Trail Elementary School', 'Spanaway Junior High School', 'Spanaway Lake High School', 'Clover Creek Elementary School', 'Pierce County Skills Center School', 'Cedarcrest Jr High School', 'Cascade Christian Private Schools-Spanaway Elementary', 'Cascade Christian Private Schools - Fredrickson Elementary']}]",2016,98375,4.0,WA,,,,1542013,"$450,000"
for sale,,single-family home,11253 S Kedzie Ave,2 Baths,"{'atAGlanceFacts': [{'factValue': '1970', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '3,125 sqft', 'factLabel': 'lotsize'}, {'factValue': '$201/sqft', 'factLabel': 'Price/sqft'}]}",,Chicago,"[{'rating': ['6/10', '4/10', '1/10'], 'data': {'Distance': ['0.18mi', '1.79mi', '7.89mi'], 'Grades': ['K-8', '7-12', '9-12']}, 'name': ['Cassell Elementary School', 'Morgan Park High School', 'Hope College Prep High School']}]","1,120 sqft",60655,4 Beds,IL,,,,10513939,"$224,900"
,,Condo,150 E Robinson St UNIT 3505,4.0,"{'atAGlanceFacts': [{'factValue': '2007', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$740', 'factLabel': 'Price/sqft'}]}",,Orlando,"[{'rating': ['9/10', '4/10'], 'data': {'Distance': ['0.1 mi', '2.3 mi'], 'Grades': ['K-8', '9-12']}, 'name': ['Lake Eola Charter School', 'Edgewater High School']}]","2,702",32801,3,FL,9,,Yes,O5829001,"$2,000,000"
Active,,Commercial/Industrial,14550 Westminster Way N ,"3,500","{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Shoreline,"[{'rating': ['7', '7', '8'], 'data': {'Distance': ['0.9 mi', '2.4 mi', '1.3 mi'], 'Grades': ['K to 6', '7 to 8', '9 to 12']}, 'name': ['Parkwood Elementary School', 'Albert Einstein Middle School', 'Shorewood High School']}]",,98133,Baths,WA,,,,1467566,"10,250,000"
for sale,,lot/land,2606 9th St SW,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '10,880 sqft', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Lehigh Acres,"[{'rating': ['4/10', '2/10', '3/10', '2/10', '3/10', '6/10', '2/10', '2/10', '5/10', '5/10', '5/10', '4/10', '3/10', '5/10', '4/10', '2/10', '5/10', '5/10', '3/10', '3/10', '3/10', '5/10'], 'data': {'Distance': ['2.76mi', '5.1mi', '7.27mi', '8.98mi', '7.5mi', '13.12mi', '11.6mi', '2.47mi', '9.9mi', '7.83mi', '10.49mi', '2.17mi', '1.71mi', '4.71mi', '3.55mi', '4.05mi', '2.02mi', '3.23mi', '1.09mi', '10.52mi', '8.98mi', '3.57mi'], 'Grades': ['PK-5', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', '6-8', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-8', '6-8', 'PK-5', 'PK-5', '6-8', 'PK-5']}, 'name': ['Harns Marsh Elementary School', 'East Lee County High School', 'River Hall Elementary School', 'Manatee Elementary School', 'Treeline Elementary School', 'Bayshore Elementary School', 'Edgewood Academy', 'Lehigh Elementary School', 'Orange River Elementary School', 'Riverdale High School', 'Tice Elementary School', 'Lehigh Acres Middle School', 'Sunshine Elementary School', 'Gateway Elementary School', 'Lehigh Senior High School', 'Mirror Lakes Elementary School', 'Veterans Park Academy For The Arts', 'Varsity Lakes Middle School', 'G. Weaver Hipps Elementary School', 'James Stephens International Academy', 'Oak Hammock Middle School', 'Tortuga Preserve Elementary School']}]",,33976,,FL,,,,219069938,"$9,000"
Active,,Traditional,9630 Concord Ln ,"1,500","{'atAGlanceFacts': [{'factValue': '2008', 'factLabel': 'Year built'}, {'factValue': '1980', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric', 'factLabel': 'Heating'}, {'factValue': 'Central Electric', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '0.35 Acres', 'factLabel': 'lotsize'}, {'factValue': '$72 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['7', '7', '5'], 'data': {'Distance': ['0.9 mi', '1.4 mi', '2.3 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Willbern Elementary School', 'Cook Middle School', 'Jersey Village High School']}]","3,854",77064,Baths,TX,1,,,61191856,"279,000"
for sale,,single-family home,349 Fantasy Ln,3 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Heat Pump', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.40 acres', 'factLabel': 'lotsize'}, {'factValue': '$124/sqft', 'factLabel': 'Price/sqft'}]}",yes,Clarksville,"[{'rating': ['8/10', '9/10', '4/10', 'None/10'], 'data': {'Distance': ['3.77mi', '3.89mi', '1.6mi', '2.43mi'], 'Grades': ['6-8', '9-12', '3-5', 'PK-2']}, 'name': ['Rossview Middle School', 'Rossview High School', 'Burt Elementary School', 'St Bethlehem Elementary School']}]","2,550 sqft",37043,4 Beds,TN,2,,,2104183,"$315,500"
for sale,,single-family home,1056 Tournament Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '1995', 'factLabel': 'Year built'}, {'factValue': '1995', 'factLabel': 'Remodeled year'}, {'factValue': 'Other', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '10,800 sqft', 'factLabel': 'lotsize'}, {'factValue': '$129/sqft', 'factLabel': 'Price/sqft'}]}",,Spring Hill,"[{'rating': ['6/10', '6/10', '3/10'], 'data': {'Distance': ['2.33mi', '4.67mi', '0.97mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Frank W. Springstead High School', 'Powell Middle School', 'Suncoast Elementary School']}]","1,929 sqft",34608,3 Beds,FL,1.0,,,2205526,"$249,700"
Pre-foreclosure / auction,,Single Family,238 10th Ave,Bathrooms: 2,"{'atAGlanceFacts': [{'factValue': '1939', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '3,920 sqft', 'factLabel': 'lotsize'}, {'factValue': '', 'factLabel': 'Price/sqft'}]}",,Scranton,"[{'rating': ['5/10', '5/10', '2/10'], 'data': {'Distance': ['0.3 mi', '0.6 mi', '0.3 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Frances Willard #32', 'West Scranton Intrmd School', 'West Scranton High School']}]","Total interior livable area: 1,450 sqft",18504,3 bd,PA,,,,,
for sale,,condo,217 W 57th St #46C,4 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$5,293/sqft', 'factLabel': 'Price/sqft'}]}",,New York,"[{'rating': ['9/10', '8/10', '3/10', '8/10', '9/10', '5/10'], 'data': {'Distance': ['1.96mi', '1.96mi', '2.19mi', '2.14mi', '4.5mi', '0.46mi'], 'Grades': ['6-8', '9-12', '6-12', '6-11', '6-8', 'PK-5']}, 'name': ['Nyc Lab Ms For Collaborative Studies', 'Nyc Lab High School For Collaborative Studies', 'Life Sciences Secondary School', 'Ms 260 Clinton School Writers And Artists', 'Lower Manhattan Community Middle School', 'Ps 111 Adolph S Ochs']}]","3,401 sqft",10019,3 Beds,NY,95,,,3118654,"$18,000,000"
for sale,,single-family home,Lennar Go Forward,3 Baths,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$204/sqft', 'factLabel': 'Price/sqft'}]}",,Cary,"[{'rating': ['5/10', '5/10'], 'data': {'Distance': ['6.61mi', '15.25mi'], 'Grades': ['PK-5', '9-12']}, 'name': ['North Chatham Elementary', 'Northwood High']}]","3,152 sqft",27519,4 Beds,NC,2.0,,,,"$644,395"
New construction,,Townhouse,711 S J St,3.0,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'No Data', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '3,249 sqft', 'factLabel': 'lotsize'}, {'factValue': '$231', 'factLabel': 'Price/sqft'}]}",,Tacoma,"[{'rating': ['2/10', '2/10', '6/10'], 'data': {'Distance': ['0.9 mi', '0.8 mi', '0.7 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Mccarver', 'Jason Lee', 'Stadium']}]","2,944",98405,3,WA,,,,1461392,"$680,000"
for sale,,single-family home,8229 Pecan Ridge Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '1997', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '0.27 acres', 'factLabel': 'lotsize'}, {'factValue': '$130/sqft', 'factLabel': 'Price/sqft'}]}",yes,North Richland Hills,"[{'rating': ['10/10', '8/10', '9/10', '10/10'], 'data': {'Distance': ['1.19mi', '3.1mi', '2.54mi', '3.1mi'], 'Grades': ['K-4', '7-8', '5-6', '9-12']}, 'name': ['Liberty Elementary School', 'Keller Middle School', 'Bear Creek Intermediate School', 'Keller High School']}]","2,119 sqft",76182,4 Beds,TX,1.0,,,14234078,"$275,000"
Active,,Contemporary,76 E 17th St Unit C2 ,,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Electric, Two or More Units', 'factLabel': 'Heating'}, {'factValue': '2 or More Units, Electric', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$269 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Chattanooga,"[{'rating': ['5', '1', '2'], 'data': {'Distance': ['0.1 mi', '1.9 mi', '0.6 mi'], 'Grades': ['Preschool to 5', '6 to 8', '9 to 12']}, 'name': ['Battle Academy For Teaching Learning', 'Orchard Knob Middle School', 'Howard School of Academics Technology']}]",930,37408,,TN,"3 Level, Site Built",,,1306533,"249,900"
for sale,,single-family home,4929 Wildbriar Dr,2 Baths,"{'atAGlanceFacts': [{'factValue': '1970', 'factLabel': 'Year built'}, {'factValue': '1970', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7,625 sqft', 'factLabel': 'lotsize'}, {'factValue': '$123/sqft', 'factLabel': 'Price/sqft'}]}",,Garland,"[{'rating': ['3/10', '3/10', '7/10', '3/10', '3/10', '4/10', '4/10', '4/10', '4/10', '9/10', '8/10', '4/10', '5/10', '5/10', '10/10', '2/10', '9/10', '10/10', '4/10', '3/10', '5/10', '3/10', '4/10', '9/10', '6/10', '2/10', '4/10', '3/10', '3/10', '6/10', '5/10', '3/10', '6/10', '5/10', '10/10', '4/10', '5/10', '5/10', '4/10', '7/10', '5/10', '5/10', '4/10', '7/10', '5/10', '6/10', '3/10', '5/10', '3/10', '4/10', '6/10', '9/10', '8/10', '6/10', '5/10', '7/10', '6/10', '6/10', '3/10', '7/10', '9/10', '6/10', '4/10', '8/10', '5/10'], 'data': {'Distance': ['4.06mi', '3.93mi', '5.05mi', '4.33mi', '4.75mi', '1.24mi', '1.43mi', '5.17mi', '5.18mi', '4.89mi', '1.95mi', '3.43mi', '4.46mi', '4.86mi', '2.72mi', '0.25mi', '1.93mi', '2.41mi', '1.64mi', '0.41mi', '5.06mi', '0.3mi', '2.6mi', '1.16mi', '4.16mi', '1.37mi', '2.47mi', '4.25mi', '4.03mi', '0.73mi', '5.11mi', '2.29mi', '5.25mi', '5.3mi', '4.38mi', '2.76mi', '2.41mi', '8.87mi', '7.02mi', '4.82mi', '6.46mi', '3.53mi', '3.75mi', '6.53mi', '8.13mi', '5.73mi', '2.7mi', '2.56mi', '6.59mi', '6.7mi', '7.52mi', '7.82mi', '7.38mi', '7.5mi', '5.0mi', '5.88mi', '4.86mi', '5.62mi', '1.93mi', '7.55mi', '7.62mi', '7.17mi', '7.32mi', '1.5mi', '7.36mi'], 'Grades': ['PK-5', 'PK-5', '6-8', '6-8', 'PK-5', 'PK-5', 'PK-5', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '9-12', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', '6-8', '6-8', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '6-8', '9-12', 'PK-5', 'PK-5', 'PK-5', 'PK-5', '6-8', 'PK-5', 'PK-5', '9-12', 'PK-5', 'PK-5', 'K-5', '6-8', 'PK-5', 'PK-5', 'PK-5', '9-12', 'PK-5', '9-12', 'PK-5', 'PK-5', '6-8', '6-8', 'PK-5']}, 'name': ['Glen Couch Elementary School', 'Freeman Elementary School', 'Jackson Technology Center', 'Bussey Middle School', 'Weaver Elementary School', 'Caldwell Elementary School', 'Centerville Elementary School', 'Coyle Middle School', 'Davis Elementary School', 'Beaver Technology Center', 'Watson Technology Center', 'Garland High School', 'Golden Meadows Elementary School', 'Bullock Elementary School', 'Kimberlin Academy For Excel', 'Heather Glen Elementary School', 'Classical Center At Vial Elementary School', 'Hillside Academy For Excel', 'Handley El', 'Montclair Elementary School', 'N Garland High School', ""O'banion Middle School"", 'Park Crest Elementary School', 'Roach Elementary School', 'Rowlett Elementary School', 'S Garland High School', 'Sam Houston Middle School', 'Sellers Middle School', 'Shorehaven Elementary School', 'Southgate Elementary School', 'Cooper Elementary School', 'Daugherty Elementary School', 'Bradfield Elementary School', 'Ethridge Elementary School', 'Walnut Glen Academy For Excel', 'Williams Elementary School', 'George Washington Carver Elementary School', 'Liberty Grove Elementary School', 'Hickman Elementary School', 'Northlake Elementary School', 'Webb Middle School', 'Lakeview Centennial High School', 'Toler Elementary School', 'Spring Creek Elementary School', 'Luna Elementary School', 'Back Elementary School', 'Lyles Middle School', 'Shugart Elementary School', 'Herfurth Elementary School', 'Naaman Forest High School', 'Abbett Elementary School', 'Keeley Elementary School', 'Robert B Sewell Elementary School', 'B G Hudson Middle School', 'Katherine Stephens Elementary School', 'Vernal Lister Elementary School', 'Norma Dorsey Elementary School', 'Rowlett High School', 'Club Hill Elementary School', 'Sachse High School', 'John W Armstrong Elementary School', 'Nita Pearson Elementary School', 'Vernon Schrade Middle School', 'Classical Center At Brandenburg Mi', 'Steadham Elementary School']}]","1,463 sqft",75043,3 Beds,TX,1.0,,,14241710,"$179,900"
For sale,,Single Family,3808 Aircraft Way,3.0,"{'atAGlanceFacts': [{'factValue': '2018', 'factLabel': 'Year built'}, {'factValue': None, 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '2,556 sqft', 'factLabel': 'lotsize'}, {'factValue': '$209', 'factLabel': 'Price/sqft'}]}",,Sacramento,"[{'rating': ['4/10', '3/10', 'NA'], 'data': {'Distance': ['1.7 mi', '2 mi', '1.5 mi'], 'Grades': ['K-5', '6-8', '9-12']}, 'name': ['Natomas Park Elementary School', 'Natomas Middle School', 'Discovery High School']}]","2,049",95834,4,CA,2,,,19073102,"$429,000"
Active,,Land,13150 SE 25th St,,"{'atAGlanceFacts': [{'factValue': '', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '54450', 'factLabel': 'lotsize'}, {'factValue': None, 'factLabel': 'Price/sqft'}]}",,Morriston,"[{'rating': ['2', '6', '3', '5', 'NR', 'NR'], 'data': {'Distance': ['22.8 mi', '22.6 mi', '8.6 mi', '8.3 mi', '9.9 mi', '11.3 mi'], 'Grades': ['PK–5', '6–12', '6–12', '3–5', '6–8', '4–12']}, 'name': ['Chiefland Elementary School', 'Chiefland Middle High School', 'Williston High School', 'Williston Elementary School', 'Williston Middle School', 'Hilltop Alternative School']}]",0,32668,,FL,,,,564119,"$6,800"
Under Contract Show,,Condo/Townhome/Row Home/Co-Op,2223 Latimer Ln,2.5,"{'atAGlanceFacts': [{'factValue': '2019', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': ', Heat Pump - Heat', 'factLabel': 'Heating'}, {'factValue': 'Heat Pump - AC, Multizone A/C', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage, Driveway', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$121', 'factLabel': 'Price/sqft'}]}",,Charlotte,"[{'rating': ['2', '4', '1', 'NR', '2', '2', 'NR', 'NR'], 'data': {'Distance': ['1.3 mi', '2.8 mi', '0.7 mi', '1.6 mi', '3.0 mi', '3.6 mi', '2.9 mi', '4.2 mi'], 'Grades': ['K–5', '6–8', '9–12', 'K–12', 'PK–8', '9–12', 'K–12', 'K–6']}, 'name': ['Tuckaseegee Elementary School', 'Whitewater Middle School', 'West Mecklenburg High School', 'Mountain Island Day Community Charter School', 'Berryhill Elementary School', 'Harding University High School', 'Paw Creek Christian Academy Private School', 'Knowledge Is Power Early Learning Prog Private School']}]",1556,28214,3,NC,2 Story,,,3576069,"$188,900"
for sale,,single-family home,3518 Astoria Blvd,2 Baths,"{'atAGlanceFacts': [{'factValue': '1920', 'factLabel': 'Year built'}, {'factValue': '1920', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': '', 'factLabel': 'Cooling'}, {'factValue': 'Attached Garage', 'factLabel': 'Parking'}, {'factValue': '1,260 sqft', 'factLabel': 'lotsize'}, {'factValue': '$1,393/sqft', 'factLabel': 'Price/sqft'}]}",,Long Island City,"[{'rating': ['2/10', '2/10', '7/10', '7/10', '6/10', '6/10'], 'data': {'Distance': ['1.02mi', '1.02mi', '0.67mi', '0.67mi', '0.51mi', '0.51mi'], 'Grades': ['9-12', '9-12', '6-8', '6-8', 'PK-5', 'PK-5']}, 'name': ['Long Island City High School', 'Long Island City High School', 'Is 10 Horace Greeley', 'Is 10 Horace Greeley', 'Ps 70', 'Ps 70']}]",700 sqft,11103,2 Beds,NY,2.0,,,,"$975,000"
